,BillNo,Date,Time,Description,Item,Quantity,Rate,Amount
15367,173114,26/01/2014,16:43:24,CADBURY ECLAIRS,CHOCOLATE,12.0,1.0,12.0
15368,173114,26/01/2014,16:43:24,TONGUE CLEANER COPER,DENTAL CARE,3.0,8.0,24.0
15369,173114,26/01/2014,16:43:24,BINGO CHIPS ,SNACKS,1.0,20.0,20.0
15370,173114,26/01/2014,16:43:24,GARNIER NORMAL COND,BODY CARE,1.0,120.0,120.0
15371,173114,26/01/2014,16:43:24,SENSODYNE BR,DENTAL CARE,1.0,100.0,100.0
15372,173114,26/01/2014,16:43:24,ODONIL AIR FRESHENER,AIR FRESHENERS,2.0,33.0,66.0
15373,173114,26/01/2014,16:43:24,LIZOL FLOOR CLEANER 2 LTR,FLOOR CLEANER,1.0,62.0,62.0
15374,173114,26/01/2014,16:43:24,DABUR HONEY SQUEZEE,HONEY,1.0,100.0,100.0
15375,173114,26/01/2014,16:43:24,GENERAL     ,GENERAL,1.0,18.0,18.0
15376,173114,26/01/2014,16:43:24,BAMBINO MADRAS RASAM POW,KITCHEN POWDERS,1.0,32.0,32.0
15377,173114,26/01/2014,16:43:24,EVEREST BLACK PEPPER PDR,KITCHEN POWDERS,1.0,63.0,63.0
15378,173114,26/01/2014,16:43:24,AASHIRVAAD CHILLI POWDER,KITCHEN POWDERS,1.0,17.0,17.0
15379,173114,26/01/2014,16:43:24,DHANIYA 100G,SPICES,1.0,16.0,16.0
15380,173115,26/01/2014,16:44:47,AIRTEL CARD ,RECHARGE,222.0,1.0,222.0
15381,173116,26/01/2014,16:45:29,MINUTE MAID PULPY ORANGE,BEVERAGES,1.0,25.0,25.0
15382,173117,26/01/2014,16:47:29,RED BULL ENERGY DRINK,DETERGENT,1.0,95.0,95.0
15383,173117,26/01/2014,16:47:29,LAYS 20/   ,SNACKS,1.0,20.0,20.0
15384,173117,26/01/2014,16:47:29,MAGGI MASALA,NOODLES,1.0,40.0,40.0
15385,173118,26/01/2014,16:49:13,CADBURY CELEBRATIONS,CHOCOLATE,1.0,230.0,230.0
15386,173119,26/01/2014,16:56:47,AMUL FRESH C,MILK PRODUCTS,1.0,40.0,40.0
15387,173119,26/01/2014,16:56:47,AMUL BUTTER 12P SMALL,MILK PRODUCTS,1.0,34.0,34.0
15388,173120,26/01/2014,16:59:55,BRITANNIA WH,BISCUITS,1.0,26.0,26.0
15389,173121,26/01/2014,17:07:37,GILLETTE MACH 3  (2`S),HAIR REMOVALS,1.0,125.0,125.0
15390,173122,26/01/2014,17:08:12,KURKURE 20/,SNACKS,1.0,20.0,20.0
15391,173122,26/01/2014,17:08:12,LAYS 20/   ,SNACKS,1.0,20.0,20.0
15392,173123,26/01/2014,17:10:57,LAYS 20/   ,SNACKS,1.0,20.0,20.0
15393,173123,26/01/2014,17:10:57,NESTLE 20 /,CHOCOLATE,2.0,20.0,40.0
15394,173124,26/01/2014,17:13:17,FREEDOM SUNF,COOKING OIL,1.0,88.0,88.0
15395,173124,26/01/2014,17:13:17,HERITAGE PANEER,MILK PRODUCTS,1.0,70.0,70.0
15396,173124,26/01/2014,17:13:17,AMUL BUTTER 12P SMALL,MILK PRODUCTS,2.0,34.0,68.0
15397,173124,26/01/2014,17:13:17,MAIDA 500GM ,MAIDA,1.0,19.0,19.0
15398,173125,26/01/2014,17:15:46,COCONUT 1P  ,COCONUT,1.0,17.0,17.0
15399,173125,26/01/2014,17:15:46,CORNETTO CHOC DISC,ICE CREAM,1.0,40.0,40.0
15400,173125,26/01/2014,17:15:46,CORNETTO BUTTERSCOTCH,MILK PRODUCTS,1.0,30.0,30.0
15401,173125,26/01/2014,17:15:46,KNORR SOUP POW,NOODLES,1.0,40.0,40.0
15402,173125,26/01/2014,17:15:46,GROUND NUT 1,PULSES,1.0,106.0,106.0
15403,173125,26/01/2014,17:15:46,MAGGI PAZZTA,NOODLES,1.0,20.0,20.0
15404,173125,26/01/2014,17:15:46,FEAST FRUTTA,CHOCOLATE,2.0,20.0,40.0
15405,173126,26/01/2014,17:22:06,NESTLE MILKYBAR,CHOCOLATE,3.0,5.0,15.0
15406,173126,26/01/2014,17:22:06,LAYS 20/   ,SNACKS,1.0,20.0,20.0
15407,173126,26/01/2014,17:22:06,BANANA CHIPS,SNACKS,1.0,25.0,25.0
15408,173126,26/01/2014,17:22:06,KURKURE 10/,SNACKS,1.0,10.0,10.0
15409,173126,26/01/2014,17:22:06,CADBURY 5 STAR,CHOCOLATE,1.0,20.0,20.0
15410,173126,26/01/2014,17:22:06,MINUTE MAID PULPY ORANGE,BEVERAGES,1.0,20.0,20.0
15411,173127,26/01/2014,17:23:06,HERITAGE CUR,MILK PRODUCTS,1.0,19.0,19.0
15412,173127,26/01/2014,17:23:06,MILK 500ML  ,MILK,1.0,19.0,19.0
15413,173128,26/01/2014,17:25:01,CADBURY CELEBRATIONS,CHOCOLATE,1.0,150.0,150.0
15414,173129,26/01/2014,17:25:19,SUNFEAST SPECIAL,CHOCOLATE,1.0,10.0,10.0
15415,173130,26/01/2014,17:26:56,PARAC AFTER SHOWER,HAIR CARE,1.0,44.0,44.0
15416,173131,26/01/2014,17:27:32,KURKURE 20/,SNACKS,1.0,20.0,20.0
15417,173132,26/01/2014,17:28:35,PARTY PACK 7,PARTY NEEDS,1.0,130.0,130.0
15418,173132,26/01/2014,17:28:35,THUMSUP 2 LTR,BEVERAGES,1.0,78.0,78.0
15419,173133,26/01/2014,17:31:42,TATA SALT 1K,SALT,1.0,17.0,17.0
15420,173133,26/01/2014,17:31:42,MILK 500ML  ,MILK,2.0,19.0,38.0
15421,173134,26/01/2014,17:37:08,SUNFEAST MARIE LIGHT,CHOCOLATE,1.0,15.0,15.0
15422,173135,26/01/2014,17:47:22,POLO BIG 5/,CHOCOLATE,2.0,5.0,10.0
15423,173136,26/01/2014,17:49:14,RIN SOAP 180,DETERGENT,1.0,10.0,10.0
15424,173136,26/01/2014,17:49:14,VIM BAR 200G,DISH CLEANER,1.0,10.0,10.0
15425,173136,26/01/2014,17:49:14,RATNA CHIKKY,SNACKS,1.0,20.0,20.0
15426,173137,26/01/2014,17:50:58,EGG         ,EGG,13.0,4.5,58.5
15427,173138,26/01/2014,17:51:43,MILK 500ML  ,MILK,1.0,19.0,19.0
15428,173139,26/01/2014,17:52:07,POLO BIG 5/,CHOCOLATE,2.0,5.0,10.0
15429,173140,26/01/2014,17:57:01,CADBURY DAIRY MILK,CHOCOLATE,2.0,5.0,10.0
15430,173140,26/01/2014,17:57:01,RATNA CHIKKY,SNACKS,1.0,40.0,40.0
15431,173140,26/01/2014,17:57:01,KAMAL PALLI CHIKKI,SNACKS,1.0,16.0,16.0
15432,173140,26/01/2014,17:57:01,KAMAL NAMKEEN,SNACKS,1.0,17.0,17.0
15433,173140,26/01/2014,17:57:01,BANANA CHIPS,SNACKS,1.0,25.0,25.0
15434,173140,26/01/2014,17:57:01,KAMAL PALLI CHIKKI,SNACKS,1.0,17.0,17.0
15435,173140,26/01/2014,17:57:01,BRITANNIA BR,BISCUITS,1.0,26.0,26.0
15436,173140,26/01/2014,17:57:01,NESTLE MILK MAID 400G TIN,CHOCOLATE,1.0,95.0,95.0
15437,173140,26/01/2014,17:57:01,AMUL FRESH C,MILK PRODUCTS,1.0,40.0,40.0
15438,173140,26/01/2014,17:57:01,NESTLE LACTOGEN-1-1KG TIN,CHOCOLATE,1.0,227.0,227.0
15439,173140,26/01/2014,17:57:01,REAL JUICE 1,BEVERAGES,1.0,99.0,99.0
15440,173140,26/01/2014,17:57:01,NESTLE LACTOGEN-1-1KG TIN,CHOCOLATE,1.0,235.0,235.0
15441,173140,26/01/2014,17:57:01,KELLOGG`S EXTRA,CEREAL,1.0,119.0,119.0
15442,173140,26/01/2014,17:57:01,CERELAC  5 FRUITS,BABY CARE,1.0,180.0,180.0
15443,173141,26/01/2014,17:57:42,EGG         ,EGG,13.0,4.5,58.5
15444,173142,26/01/2014,17:59:00,BRITANNIA BR,BISCUITS,1.0,26.0,26.0
15445,173143,26/01/2014,18:00:13,CARRY BAG   ,CARRY BAG,1.0,2.0,2.0
15446,173143,26/01/2014,18:00:13,MILK 500ML  ,MILK,4.0,19.0,76.0
15447,173143,26/01/2014,18:00:13,AMUL BUTTER 12P SMALL,MILK PRODUCTS,1.0,34.0,34.0
15448,173143,26/01/2014,18:00:13,HERITAGE CUR,MILK PRODUCTS,1.0,38.0,38.0
15449,173144,26/01/2014,18:01:23,KAMAL NAMKEEN,SNACKS,1.0,17.0,17.0
15450,173145,26/01/2014,18:02:37,CORNETTO  35,ICE CREAM,1.0,35.0,35.0
15451,173145,26/01/2014,18:02:37,CORNETTO BUTTERSCOTCH,MILK PRODUCTS,1.0,30.0,30.0
15452,173145,26/01/2014,18:02:37,CORNETTO CHOC DISC,ICE CREAM,1.0,40.0,40.0
15453,173146,26/01/2014,18:04:34,GROUND NUT 2,PULSES,1.0,22.0,22.0
15454,173146,26/01/2014,18:04:34,PUTANALU 200,PULSES,1.0,16.0,16.0
15455,173146,26/01/2014,18:04:34,KAMAL SALTED MURMURA,SNACKS,1.0,22.0,22.0
15456,173147,26/01/2014,18:06:14,DAIRY MILK  SHOTS,CHOCOLATE,1.0,2.0,2.0
15457,173147,26/01/2014,18:06:14,ENO 5G      ,SPICES,2.0,6.0,12.0
15458,173147,26/01/2014,18:06:14,KURNOOL RICE,RICE,1.0,46.0,46.0
15459,173148,26/01/2014,18:08:07,THUMSUP 500M,BEVERAGES,1.0,35.0,35.0
15460,173148,26/01/2014,18:08:07,LAYS 20/   ,SNACKS,1.0,20.0,20.0
15461,173149,26/01/2014,18:11:31,CADBURY ECLAIRS,CHOCOLATE,1.0,56.0,56.0
15462,173149,26/01/2014,18:11:31,CADBURY DAIRY MILK,CHOCOLATE,64.0,10.0,640.0
15463,173150,26/01/2014,18:14:20,LITTLE HEARTS 25G SMALL,SNACKS,2.0,10.0,20.0
15464,173150,26/01/2014,18:14:20,KAMAL RICE POWDER,RICE,1.0,25.0,25.0
15465,173150,26/01/2014,18:14:20,CHANA DALL 5,PULSES,1.0,31.0,31.0
15466,173150,26/01/2014,18:14:20,HALDIRAM`S 8,SNACKS,2.0,10.0,20.0
15467,173150,26/01/2014,18:14:20,EGG         ,EGG,6.0,4.5,27.0
15468,173151,26/01/2014,18:23:47,ELITE CAKE 1,BAKERY ITEMS,1.0,30.0,30.0
15469,173151,26/01/2014,18:23:47,FREEDOM SUNF,COOKING OIL,1.0,88.0,88.0
15470,173151,26/01/2014,18:23:47,EGG         ,EGG,12.0,4.5,54.0
15471,173151,26/01/2014,18:23:47,PIM POM LOLLIPOP,CHOCOLATE,1.0,3.0,3.0
15472,173151,26/01/2014,18:23:47,CADBURY GEMS,CHOCOLATE,1.0,10.0,10.0
15473,173151,26/01/2014,18:23:47,BRITANNIA SA,BISCUITS,1.0,26.0,26.0
15474,173151,26/01/2014,18:23:47,KELLOGG`S CHOCOS,CEREAL,1.0,141.0,141.0
15475,173152,26/01/2014,18:24:15,CADBURY DAIRY MILK,CHOCOLATE,2.0,55.0,110.0
15476,173153,26/01/2014,18:25:15,THUMS UP TIN,BEVERAGES,1.0,25.0,25.0
15477,173154,26/01/2014,18:27:05,COCONUT 1P  ,COCONUT,2.0,17.0,34.0
15478,173154,26/01/2014,18:27:05,BRITANNIA WH,BISCUITS,1.0,26.0,26.0
15479,173154,26/01/2014,18:27:05,KISSAN MIXED FRUIT JAM,JAM,1.0,99.0,99.0
15480,173155,26/01/2014,18:30:05,KURNOOL RICE,RICE,1.0,92.0,92.0
15481,173156,26/01/2014,18:30:36,KURKURE 10/,SNACKS,1.0,10.0,10.0
15482,173157,26/01/2014,18:31:37,ELITE DREAMS,BAKERY ITEMS,1.0,45.0,45.0
15483,173157,26/01/2014,18:31:37,BRITANNIA WH,BISCUITS,1.0,26.0,26.0
15484,173158,26/01/2014,18:31:58,CADBURY CELEBRATIONS,CHOCOLATE,1.0,90.0,90.0
15485,173159,26/01/2014,18:33:48,EVER YUTH FACE WASH,BODY CARE,1.0,105.0,105.0
15486,173159,26/01/2014,18:33:48,KAMAL NAMKEEN,SNACKS,1.0,15.0,15.0
15487,173159,26/01/2014,18:33:48,MAGGI MASALA,NOODLES,4.0,10.0,40.0
15488,173159,26/01/2014,18:33:48,COCACOLA 60,BEVERAGES,1.0,35.0,35.0
15489,173160,26/01/2014,18:34:20,ORBIT CHEWING GUM,CHOCOLATE,2.0,5.0,10.0
15490,173161,26/01/2014,18:34:40,PIM POM LOLLIPOP,CHOCOLATE,1.0,3.0,3.0
15491,173161,26/01/2014,18:34:40,SUGAR 1KG   ,SUGAR,1.0,38.0,38.0
15492,173162,26/01/2014,18:37:13,SUNFEAST MARIE LIGHT,CHOCOLATE,1.0,15.0,15.0
15493,173163,26/01/2014,18:38:30,CARRY BAG   ,CARRY BAG,1.0,3.0,3.0
15494,173163,26/01/2014,18:38:30,BRITANNIA WH,BISCUITS,1.0,26.0,26.0
15495,173163,26/01/2014,18:38:30,SUGAR 2KG   ,SUGAR,1.0,76.0,76.0
15496,173163,26/01/2014,18:38:30,PASTA 91G   ,COOKING ITEMS,2.0,20.0,40.0
15497,173164,26/01/2014,18:38:49,I D DOSA BAT,BATTER,2.0,45.0,90.0
15498,173165,26/01/2014,18:39:10,BRITANNIA BR,BISCUITS,1.0,26.0,26.0
15499,173165,26/01/2014,18:39:10,RAI SMALL 20,SPICES,1.0,24.0,24.0
15500,173165,26/01/2014,18:39:10,CHALKPIECS BOX COLOUR,STATIONARY,1.0,12.0,12.0
15501,173166,26/01/2014,18:39:56,CADBURY DAIRY MILK,CHOCOLATE,1.0,55.0,55.0
15502,173166,26/01/2014,18:39:56,CADBURY GEMS,CHOCOLATE,1.0,35.0,35.0
15503,173167,26/01/2014,18:42:17,NATARAJ PENCIL,STATIONARY,10.0,3.5,35.0
15504,173167,26/01/2014,18:42:17,EGG         ,EGG,6.0,4.5,27.0
15505,173167,26/01/2014,18:42:17,CINTHOL FRESH,BODY SOAP,1.0,65.0,65.0
15506,173167,26/01/2014,18:42:17,KINLEY SODA 1.5 LTR,BEVERAGES,1.0,25.0,25.0
15507,173167,26/01/2014,18:42:17,HERITAGE CUR,MILK PRODUCTS,1.0,38.0,38.0
15508,173167,26/01/2014,18:42:17,YIPPEE NOODLES,NOODLES,1.0,40.0,40.0
15509,173167,26/01/2014,18:42:17,BRITANNIA WH,BISCUITS,1.0,26.0,26.0
15510,173167,26/01/2014,18:42:17,DETTOL LIQUID HAND WASH,HEALTH CARE,1.0,39.0,39.0
15511,173167,26/01/2014,18:42:17,DETTOL LIQUID HAND WASH,HEALTH CARE,1.0,33.0,33.0
15512,173168,26/01/2014,18:44:29,CARRY BAG   ,CARRY BAG,1.0,3.0,3.0
15513,173168,26/01/2014,18:44:29,HALDIRAM`S 3,SNACKS,1.0,80.0,80.0
15514,173168,26/01/2014,18:44:29,HALDIRAM`S 3,SNACKS,1.0,67.0,67.0
15515,173169,26/01/2014,18:45:10,PIM POM LOLLIPOP,CHOCOLATE,1.0,3.0,3.0
15516,173169,26/01/2014,18:45:10,PEDIASURE 20,ENERGY DRINKS,1.0,267.0,267.0
15517,173169,26/01/2014,18:45:10,SAKTHI GHEE ,MILK PRODUCTS,1.0,200.0,200.0
15518,173169,26/01/2014,18:45:10,BRITANNIA WH,BISCUITS,1.0,26.0,26.0
15519,173170,26/01/2014,18:46:32,CADBURY ECLAIRS,CHOCOLATE,4.0,1.0,4.0
15520,173170,26/01/2014,18:46:32,CADBURY PERK POPPERS,CHOCOLATE,1.0,5.0,5.0
15521,173170,26/01/2014,18:46:32,BOOMER      ,CHOCOLATE,1.0,6.0,6.0
15522,173170,26/01/2014,18:46:32,ORBIT CHEWING GUM,CHOCOLATE,1.0,5.0,5.0
15523,173170,26/01/2014,18:46:32,ORBIT CHEWING GUM,CHOCOLATE,1.0,5.0,5.0
15524,173170,26/01/2014,18:46:32,COCACOLA TI,BEVERAGES,1.0,25.0,25.0
15525,173171,26/01/2014,18:47:51,BADAM FLAVOURED MILK,MILK,1.0,25.0,25.0
15526,173171,26/01/2014,18:47:51,VANILLA ICE CREAM BULK,ICE CREAM,1.0,12.0,12.0
15527,173172,26/01/2014,18:52:02,GENERAL     ,GENERAL,1.0,16.0,16.0
15528,173173,26/01/2014,18:53:32,EXCELL RC 1,RECHARGE,110.0,1.0,110.0
15529,173173,26/01/2014,18:53:32,TRESEMME CON,SHAMPOO,1.0,68.0,68.0
15530,173173,26/01/2014,18:53:32,I D DOSA BAT,BATTER,1.0,45.0,45.0
15531,173173,26/01/2014,18:53:32,GROUND NUT 1,PULSES,1.0,106.0,106.0
15532,173173,26/01/2014,18:53:32,COLGATE VISI,DENTAL CARE,1.0,79.0,79.0
15533,173173,26/01/2014,18:53:32,FAIR & LOVELY ,BODY CARE,1.0,125.0,125.0
15534,173174,26/01/2014,18:56:00,BRITANNIA WH,BISCUITS,1.0,26.0,26.0
15535,173174,26/01/2014,18:56:00,FIGARO OLIVE OIL,COOKING OIL,1.0,115.0,115.0
15536,173174,26/01/2014,18:56:00,RAI SMALL 20,SPICES,1.0,24.0,24.0
15537,173174,26/01/2014,18:56:00,JOHNSON BABY CREAM,BABY CARE,1.0,154.0,154.0
15538,173175,26/01/2014,18:56:46,RAJAS GARBAGE DISPO BAGS,PLASTIC,1.0,90.0,90.0
15539,173176,26/01/2014,18:57:20,KINDER JOY 2,CHOCOLATE,1.0,35.0,35.0
15540,173176,26/01/2014,18:57:20,ELITE CAKE 1,BAKERY ITEMS,1.0,30.0,30.0
15541,173176,26/01/2014,18:57:20,NESTLE KITKAT,CHOCOLATE,1.0,20.0,20.0
15542,173176,26/01/2014,18:57:20,PREMIER KITCHENTOWEL,TISSUE,1.0,115.0,115.0
15543,173176,26/01/2014,18:57:20,JOHNSON COTTON BUDS,BABY CARE,1.0,70.0,70.0
15544,173177,26/01/2014,18:58:20,CADBURY DAIRY MILK,CHOCOLATE,1.0,35.0,35.0
15545,173177,26/01/2014,18:58:20,MSEAL      ,STATIONARY,3.0,10.0,30.0
15546,173178,26/01/2014,19:00:56,LAYS 20/   ,SNACKS,1.0,20.0,20.0
15547,173179,26/01/2014,19:03:04,CARRY BAG   ,CARRY BAG,1.0,2.0,2.0
15548,173179,26/01/2014,19:03:04,MAGGI MASALA,NOODLES,2.0,15.0,30.0
15549,173179,26/01/2014,19:03:04,DABUR COCONUT MILK 200 ML,COCONUT,2.0,52.0,104.0
15550,173179,26/01/2014,19:03:04,HEAD & SHOULDER 200ML S B,SHAMPOO,1.0,135.0,135.0
15551,173179,26/01/2014,19:03:04,CADBURY DAIRY MILK,CHOCOLATE,1.0,125.0,125.0
15552,173179,26/01/2014,19:03:04,ACTIVE WHEEL,DETERGENT,1.0,29.0,29.0
15553,173180,26/01/2014,19:03:57,PIM POM LOLLIPOP,CHOCOLATE,2.0,3.0,6.0
15554,173180,26/01/2014,19:03:57,HERITAGE CUR,MILK PRODUCTS,1.0,19.0,19.0
15555,173181,26/01/2014,19:05:33,PAMPERS PANT,DIAPERS,1.0,125.0,125.0
15556,173181,26/01/2014,19:05:33,NESTLE CERELAC APPLE,CHOCOLATE,1.0,182.0,182.0
15557,173182,26/01/2014,19:07:57,APSARA PENCIL,STATIONARY,10.0,5.0,50.0
15558,173183,26/01/2014,19:09:33,MILK 500ML  ,MILK,2.0,19.0,38.0
15559,173183,26/01/2014,19:09:33,HERITAGE CUR,MILK PRODUCTS,1.0,38.0,38.0
15560,173184,26/01/2014,19:13:20,NESTLE KITKAT,CHOCOLATE,1.0,10.0,10.0
15561,173184,26/01/2014,19:13:20,BOURNVILLE 3,BISCUITS,1.0,30.0,30.0
15562,173184,26/01/2014,19:13:20,CADBURY GEMS,CHOCOLATE,1.0,35.0,35.0
15563,173184,26/01/2014,19:13:20,KINDER JOY 2,CHOCOLATE,1.0,35.0,35.0
15564,173184,26/01/2014,19:13:20,CADBURY DAIRY MILK,CHOCOLATE,2.0,10.0,20.0
15565,173184,26/01/2014,19:13:20,NESTLE 20 /,CHOCOLATE,2.0,20.0,40.0
15566,173184,26/01/2014,19:13:20,AMUL FRESH C,MILK PRODUCTS,1.0,40.0,40.0
15567,173185,26/01/2014,19:16:54,CADBURY GEMS,CHOCOLATE,1.0,20.0,20.0
15568,173185,26/01/2014,19:16:54,PRIYA PICKLE,PICKLES,2.0,12.0,24.0
15569,173185,26/01/2014,19:16:54,AMUL BUTTER 12P SMALL,MILK PRODUCTS,1.0,34.0,34.0
15570,173185,26/01/2014,19:16:54,PREMIER SERVITTE TISSUE,TISSUE,1.0,28.0,28.0
15571,173185,26/01/2014,19:16:54,TAJ MAHAL TEA,TEA,1.0,46.0,46.0
15572,173185,26/01/2014,19:16:54,BRITANNIA WH,BISCUITS,1.0,26.0,26.0
15573,173185,26/01/2014,19:16:54,DRINKING STRAWS,DETERGENT,1.0,25.0,25.0
15574,173186,26/01/2014,19:17:09,NESCAFE SUNRICE PREMIUM,COFFEE,1.0,85.0,85.0
15575,173187,26/01/2014,19:17:25,VIM DROP LIQUID,DISH CLEANER,1.0,99.0,99.0
15576,173188,26/01/2014,19:18:16,TRESEMME CON,SHAMPOO,1.0,68.0,68.0
15577,173189,26/01/2014,19:18:55,KURKURE 10/,SNACKS,1.0,10.0,10.0
15578,173190,26/01/2014,19:19:18,MILK 500ML  ,MILK,2.0,19.0,38.0
15579,173190,26/01/2014,19:19:18,BOUTIQUE TIS,PARTY NEEDS,1.0,58.0,58.0
15580,173190,26/01/2014,19:19:18,AASHIRVAAD CHILLI POWDER,KITCHEN POWDERS,1.0,21.0,21.0
15581,173190,26/01/2014,19:19:18,EVER YUTH FACE WASH,BODY CARE,1.0,65.0,65.0
15582,173191,26/01/2014,19:20:14,MAAZA 200ML ,BEVERAGES,1.0,12.0,12.0
15583,173191,26/01/2014,19:20:14,PRIYA GINGER GARLIC PASTE,KITCHEN PASTES,1.0,18.0,18.0
15584,173191,26/01/2014,19:20:14,SKY BIRDSCORNFLORE POWDER,KITCHEN POWDERS,1.0,28.0,28.0
15585,173192,26/01/2014,19:21:09,EGG         ,EGG,12.0,4.5,54.0
15586,173192,26/01/2014,19:21:09,SWARNA TAMARIND,DETERGENT,1.0,35.0,35.0
15587,173193,26/01/2014,19:21:54,CADBURY CELEBRATIONS,CHOCOLATE,1.0,150.0,150.0
15588,173194,26/01/2014,19:22:53,GENERAL     ,GENERAL,1.0,5.0,5.0
15589,173194,26/01/2014,19:22:53,MAAZA 200ML ,BEVERAGES,1.0,12.0,12.0
15590,173195,26/01/2014,19:25:08,WHISPER MAXI,SANITARY PADS,1.0,125.0,125.0
15591,173196,26/01/2014,19:25:30,HALDIRAM`S 3,SNACKS,1.0,76.0,76.0
15592,173197,26/01/2014,19:26:09,EGG         ,EGG,8.0,4.5,36.0
15593,173197,26/01/2014,19:26:09,C C DOSA BAT,BATTER,1.0,51.0,51.0
15594,173198,26/01/2014,19:26:50,MILK 500ML  ,MILK,1.0,19.0,19.0
15595,173198,26/01/2014,19:26:50,BRITANNIA GOOD DAY BUTTER,MILK PRODUCTS,1.0,10.0,10.0
15596,173199,26/01/2014,19:28:10,ONIONS      ,ONIONS,2.0,25.0,50.0
15597,173200,26/01/2014,19:29:08,HERITAGE CUR,MILK PRODUCTS,1.0,19.0,19.0
15598,173200,26/01/2014,19:29:08,CRANE SWEET NUT POW,SOUNF,1.0,15.0,15.0
15599,173203,26/01/2014,19:33:39,AXE DEO 150ML IMP,BODY CARE,2.0,165.0,330.0
15600,173204,26/01/2014,19:34:20,EGG         ,EGG,12.0,4.5,54.0
15601,173204,26/01/2014,19:34:20,BRITANNIA BR,BISCUITS,1.0,26.0,26.0
15602,173205,26/01/2014,19:39:01,EGG         ,EGG,12.0,4.5,54.0
15603,173205,26/01/2014,19:39:01,BRITANNIA BUT & HON CREAM,BISCUITS,1.0,13.0,13.0
15604,173205,26/01/2014,19:39:01,KAMAL NAMKEEN,SNACKS,1.0,15.0,15.0
15605,173205,26/01/2014,19:39:01,BRITANNIA WH,BISCUITS,1.0,26.0,26.0
15606,173205,26/01/2014,19:39:01,LAYS 10/   ,SNACKS,2.0,10.0,20.0
15607,173205,26/01/2014,19:39:01,MAAZA 200ML ,BEVERAGES,4.0,12.0,48.0
15608,173205,26/01/2014,19:39:01,LAKME STRAWBEERY SILK CREME,BODY CARE,1.0,98.0,98.0
15609,173206,26/01/2014,19:39:44,BRITANNIA BR,BISCUITS,1.0,26.0,26.0
15610,173207,26/01/2014,19:40:56,KURNOOL RICE,RICE,7.0,46.0,322.0
15611,173208,26/01/2014,19:41:25,LAYS 10/   ,SNACKS,3.0,10.0,30.0
15612,173209,26/01/2014,19:43:23,KURNOOL RICE,RICE,1.0,230.0,230.0
15613,173210,26/01/2014,19:45:27,SUGAR 1KG   ,SUGAR,1.0,38.0,38.0
15614,173211,26/01/2014,19:46:36,CELLO PEN 10,STATIONARY,1.0,10.0,10.0
15615,173212,26/01/2014,19:51:29,MILK 500ML  ,MILK,1.0,19.0,19.0
15616,173213,26/01/2014,19:58:52,CADBURY ECLAIRS,CHOCOLATE,1.0,1.0,1.0
15617,173214,27/01/2014,20:26:56,DABUR HONEY SQUEZEE,HONEY,1.0,155.0,155.0
15618,173215,27/01/2014,20:28:54,FEVICOL     ,STATIONARY,1.0,20.0,20.0
15619,173215,27/01/2014,20:28:54,NOTE  BOOK  ,STATIONARY,22.0,1.0,22.0
15620,173215,27/01/2014,20:28:54,KINLEY WATER  1 LITRE,BEVERAGES,2.0,20.0,40.0
15621,173216,27/01/2014,20:33:35,MILK 500ML  ,MILK,1.0,19.0,19.0
15622,173216,27/01/2014,20:33:35,PILLSBURY MULTI GRAINS,ATTA,1.0,48.0,48.0
15623,173217,27/01/2014,20:35:52,CARRY BAG   ,CARRY BAG,1.0,3.0,3.0
15624,173217,27/01/2014,20:35:52,EGG         ,EGG,6.0,4.5,27.0
15625,173217,27/01/2014,20:35:52,VIVEL SOAP 1,BODY SOAP,1.0,22.0,22.0
15626,173217,27/01/2014,20:35:52,GENERAL     ,GENERAL,1.0,20.0,20.0
15627,173217,27/01/2014,20:35:52,BRITANNIA WH,BISCUITS,1.0,26.0,26.0
15628,173217,27/01/2014,20:35:52,MILK 500ML  ,MILK,1.0,19.0,19.0
15629,173217,27/01/2014,20:35:52,ELITE CAKE 1,BAKERY ITEMS,1.0,30.0,30.0
15630,173218,27/01/2014,20:36:24,KAMAL PALLI CHIKKI,SNACKS,1.0,16.0,16.0
15631,173218,27/01/2014,20:36:24,LIMCA 300ML ,BEVERAGES,1.0,25.0,25.0
15632,173219,27/01/2014,20:37:09,BRITANNIA WH,BISCUITS,1.0,26.0,26.0
15633,173220,27/01/2014,20:37:41,POLO BIG 5/,CHOCOLATE,2.0,5.0,10.0
15634,173220,27/01/2014,20:37:41,PARTY PACK 7,PARTY NEEDS,1.0,170.0,170.0
15635,173221,27/01/2014,20:38:24,CADBURY 5 STAR,CHOCOLATE,2.0,10.0,20.0
15636,173222,27/01/2014,20:38:55,FANTA 400ML ,BEVERAGES,2.0,22.0,44.0
15637,173222,27/01/2014,20:38:55,KAMAL NAMKEEN,SNACKS,1.0,17.0,17.0
15638,173223,27/01/2014,20:39:19,REAL JUICE 1,BEVERAGES,1.0,99.0,99.0
15639,173224,27/01/2014,20:40:44,CADBURY DAIRY MILK,CHOCOLATE,2.0,55.0,110.0
15640,173224,27/01/2014,20:40:44,VIJAYA GROUND NUT OIL,COOKING OIL,2.0,95.0,190.0
15641,173225,27/01/2014,20:43:29,RIN SUPEME 2,DETERGENT,1.0,29.0,29.0
15642,173226,27/01/2014,8:49:21,HERITAGE CUR,MILK PRODUCTS,1.0,19.0,19.0
