,BillNo,Date,Time,Description,Item,Quantity,Rate,Amount
248,167370,1/1/2014,12:06:25,ONIONS      ,ONIONS,2.0,25.0,50.0
249,167371,1/1/2014,12:06:51,NON FRUIT VINEGAR,BAKERY ITEMS,1.0,32.0,32.0
250,167372,1/1/2014,12:07:40,RIN SOAP 180,DETERGENT,4.0,10.0,40.0
251,167372,1/1/2014,12:07:40,MILK 500ML  ,MILK,3.0,19.0,57.0
252,167372,1/1/2014,12:07:40,HERITAGE CUR,MILK PRODUCTS,1.0,38.0,38.0
253,167372,1/1/2014,12:07:40,BRU GOLD INS,COFFEE,1.0,55.0,55.0
254,167373,1/1/2014,12:08:38,EGG         ,EGG,12.0,4.5,54.0
255,167374,1/1/2014,12:09:42,HOMELITES MATCHES BIG,BAKERY ITEMS,1.0,6.0,6.0
256,167374,1/1/2014,12:09:42,HOMELITES MATCHES BIG,BAKERY ITEMS,1.0,10.0,10.0
257,167374,1/1/2014,12:09:42,BRITANNIA BR,BISCUITS,1.0,26.0,26.0
258,167374,1/1/2014,12:09:42,HERITAGE CUR,MILK PRODUCTS,1.0,38.0,38.0
259,167374,1/1/2014,12:09:42,KAMAL NAMKEEN,SNACKS,1.0,22.0,22.0
260,167375,1/1/2014,12:11:19,BRITANNIA WH,BISCUITS,1.0,26.0,26.0
261,167375,1/1/2014,12:11:19,MEDIKER 50ML,HAIR CARE,1.0,45.0,45.0
262,167376,1/1/2014,12:15:44,BAMBINO VARMICELLI,COOKING ITEMS,1.0,13.0,13.0
263,167376,1/1/2014,12:15:44,MILK 500ML  ,MILK,4.0,19.0,76.0
264,167377,1/1/2014,12:16:42,CADBURY DAIRY MILK,CHOCOLATE,1.0,22.0,22.0
265,167378,1/1/2014,12:21:03,MILK 500ML  ,MILK,4.0,19.0,76.0
266,167378,1/1/2014,12:21:03,I D DOSA BAT,BATTER,3.0,45.0,135.0
267,167379,1/1/2014,12:21:50,DETTOL 200ML,HEALTH CARE,1.0,36.0,36.0
268,167379,1/1/2014,12:21:50,HERITAGE CUR,MILK PRODUCTS,2.0,38.0,76.0
269,167379,1/1/2014,12:21:50,MILK 500ML  ,MILK,2.0,19.0,38.0
270,167380,1/1/2014,12:22:43,ORBIT CHEWING GUM,CHOCOLATE,1.0,5.0,5.0
271,167380,1/1/2014,12:22:43,SPEARMINT CH,CHOCOLATE,1.0,10.0,10.0
272,167380,1/1/2014,12:22:43,KAMAL RICE POWDER,RICE,1.0,25.0,25.0
273,167381,1/1/2014,12:25:24,BRU INSTANT COFFEE,COFFEE,3.0,10.0,30.0
274,167381,1/1/2014,12:25:24,PUTANALU 500,PULSES,1.0,38.0,38.0
275,167381,1/1/2014,12:25:24,MILK 500ML  ,MILK,1.0,19.0,19.0
276,167381,1/1/2014,12:25:24,CORNETTO CHOC DISC,ICE CREAM,1.0,40.0,40.0
277,167381,1/1/2014,12:25:24,CORNETTO BUTTERSCOTCH,MILK PRODUCTS,2.0,30.0,60.0
278,167381,1/1/2014,12:25:24,MAAZA 200ML ,BEVERAGES,1.0,12.0,12.0
279,167382,1/1/2014,12:26:59,EGG         ,EGG,12.0,4.5,54.0
280,167382,1/1/2014,12:26:59,PIM POM LOLLIPOP,CHOCOLATE,2.0,3.0,6.0
281,167382,1/1/2014,12:26:59,HERITAGE CUR,MILK PRODUCTS,1.0,38.0,38.0
